,y1_countyname,y1_state,y2_countyname,y2_state,n2_inflow,agi_perThou_inflow,agi_inflow,yr_range,year1,year2,mig_direction1,unique_tag,secondary_county
108975,Stephens County,GA,Habersham County,GA,201,3781,3781000,1617,2016,2017,inflow,Habersham County-Stephens County-GA-1617,"Stephens County, GA"
108976,Gwinnett County,GA,Habersham County,GA,160,5930,5930000,1617,2016,2017,inflow,Habersham County-Gwinnett County-GA-1617,"Gwinnett County, GA"
108977,Forsyth County,GA,Habersham County,GA,73,2184,2184000,1617,2016,2017,inflow,Habersham County-Forsyth County-GA-1617,"Forsyth County, GA"
108978,Fulton County,GA,Habersham County,GA,42,2483,2483000,1617,2016,2017,inflow,Habersham County-Fulton County-GA-1617,"Fulton County, GA"
108979,Jackson County,GA,Habersham County,GA,60,1013,1013000,1617,2016,2017,inflow,Habersham County-Jackson County-GA-1617,"Jackson County, GA"
108980,Rabun County,GA,Habersham County,GA,63,1415,1415000,1617,2016,2017,inflow,Habersham County-Rabun County-GA-1617,"Rabun County, GA"
108981,Franklin County,GA,Habersham County,GA,48,864,864000,1617,2016,2017,inflow,Habersham County-Franklin County-GA-1617,"Franklin County, GA"
108982,DeKalb County,GA,Habersham County,GA,34,691,691000,1617,2016,2017,inflow,Habersham County-DeKalb County-GA-1617,"DeKalb County, GA"
108990,Hall County Total Migration-US and Foreign,GA,Hall County,GA,14433,472644,472644000,1617,2016,2017,inflow,Hall County total migration-1617,"Hall County Total Migration-US and Foreign, GA"
108996,Gwinnett County,GA,Hall County,GA,3794,130620,130620000,1617,2016,2017,inflow,Hall County-Gwinnett County-GA-1617,"Gwinnett County, GA"
108997,Forsyth County,GA,Hall County,GA,955,35692,35692000,1617,2016,2017,inflow,Hall County-Forsyth County-GA-1617,"Forsyth County, GA"
108998,Jackson County,GA,Hall County,GA,687,14870,14870000,1617,2016,2017,inflow,Hall County-Jackson County-GA-1617,"Jackson County, GA"
108999,Fulton County,GA,Hall County,GA,464,31167,31167000,1617,2016,2017,inflow,Hall County-Fulton County-GA-1617,"Fulton County, GA"
109000,Barrow County,GA,Hall County,GA,487,11939,11939000,1617,2016,2017,inflow,Hall County-Barrow County-GA-1617,"Barrow County, GA"
109001,DeKalb County,GA,Hall County,GA,349,11650,11650000,1617,2016,2017,inflow,Hall County-DeKalb County-GA-1617,"DeKalb County, GA"
109002,White County,GA,Hall County,GA,370,7078,7078000,1617,2016,2017,inflow,Hall County-White County-GA-1617,"White County, GA"
109003,Lumpkin County,GA,Hall County,GA,314,7454,7454000,1617,2016,2017,inflow,Hall County-Lumpkin County-GA-1617,"Lumpkin County, GA"
109004,Cobb County,GA,Hall County,GA,267,12792,12792000,1617,2016,2017,inflow,Hall County-Cobb County-GA-1617,"Cobb County, GA"
109005,Habersham County,GA,Hall County,GA,300,7072,7072000,1617,2016,2017,inflow,Hall County-Habersham County-GA-1617,"Habersham County, GA"
109006,Dawson County,GA,Hall County,GA,172,5570,5570000,1617,2016,2017,inflow,Hall County-Dawson County-GA-1617,"Dawson County, GA"
109007,Cherokee County,GA,Hall County,GA,171,5311,5311000,1617,2016,2017,inflow,Hall County-Cherokee County-GA-1617,"Cherokee County, GA"
109008,Banks County,GA,Hall County,GA,178,6324,6324000,1617,2016,2017,inflow,Hall County-Banks County-GA-1617,"Banks County, GA"
109009,Walton County,GA,Hall County,GA,129,2733,2733000,1617,2016,2017,inflow,Hall County-Walton County-GA-1617,"Walton County, GA"
109010,Clarke County,GA,Hall County,GA,100,2083,2083000,1617,2016,2017,inflow,Hall County-Clarke County-GA-1617,"Clarke County, GA"
109011,Chatham County,GA,Hall County,GA,96,3310,3310000,1617,2016,2017,inflow,Hall County-Chatham County-GA-1617,"Chatham County, GA"
109012,Henry County,GA,Hall County,GA,78,2245,2245000,1617,2016,2017,inflow,Hall County-Henry County-GA-1617,"Henry County, GA"
109013,Stephens County,GA,Hall County,GA,73,1536,1536000,1617,2016,2017,inflow,Hall County-Stephens County-GA-1617,"Stephens County, GA"
109014,Miami-Dade County,FL,Hall County,GA,53,1404,1404000,1617,2016,2017,inflow,Hall County-Miami-Dade County-FL-1617,"Miami-Dade County, FL"
109015,Broward County,FL,Hall County,GA,68,2444,2444000,1617,2016,2017,inflow,Hall County-Broward County-FL-1617,"Broward County, FL"
109016,Los Angeles County,CA,Hall County,GA,50,1038,1038000,1617,2016,2017,inflow,Hall County-Los Angeles County-CA-1617,"Los Angeles County, CA"
109017,Fayette County,GA,Hall County,GA,54,2956,2956000,1617,2016,2017,inflow,Hall County-Fayette County-GA-1617,"Fayette County, GA"
109018,Harris County,TX,Hall County,GA,67,1018,1018000,1617,2016,2017,inflow,Hall County-Harris County-TX-1617,"Harris County, TX"
109019,Hillsborough County,FL,Hall County,GA,47,1175,1175000,1617,2016,2017,inflow,Hall County-Hillsborough County-FL-1617,"Hillsborough County, FL"
109020,Clayton County,GA,Hall County,GA,48,1008,1008000,1617,2016,2017,inflow,Hall County-Clayton County-GA-1617,"Clayton County, GA"
109021,Rabun County,GA,Hall County,GA,39,1236,1236000,1617,2016,2017,inflow,Hall County-Rabun County-GA-1617,"Rabun County, GA"
109022,Rockdale County,GA,Hall County,GA,39,1290,1290000,1617,2016,2017,inflow,Hall County-Rockdale County-GA-1617,"Rockdale County, GA"
109023,Palm Beach County,FL,Hall County,GA,47,1175,1175000,1617,2016,2017,inflow,Hall County-Palm Beach County-FL-1617,"Palm Beach County, FL"
109024,Douglas County,GA,Hall County,GA,48,1170,1170000,1617,2016,2017,inflow,Hall County-Douglas County-GA-1617,"Douglas County, GA"
109025,Duval County,FL,Hall County,GA,43,751,751000,1617,2016,2017,inflow,Hall County-Duval County-FL-1617,"Duval County, FL"
109026,Pinellas County,FL,Hall County,GA,37,1314,1314000,1617,2016,2017,inflow,Hall County-Pinellas County-FL-1617,"Pinellas County, FL"
109272,Jackson County Total Migration-US and Foreign,GA,Jackson County,GA,8761,222084,222084000,1617,2016,2017,inflow,Jackson County total migration-1617,"Jackson County Total Migration-US and Foreign, GA"
109278,Gwinnett County,GA,Jackson County,GA,2130,65885,65885000,1617,2016,2017,inflow,Jackson County-Gwinnett County-GA-1617,"Gwinnett County, GA"
109279,Hall County,GA,Jackson County,GA,1285,32081,32081000,1617,2016,2017,inflow,Jackson County-Hall County-GA-1617,"Hall County, GA"
109280,Barrow County,GA,Jackson County,GA,976,21958,21958000,1617,2016,2017,inflow,Jackson County-Barrow County-GA-1617,"Barrow County, GA"
109281,Clarke County,GA,Jackson County,GA,538,11151,11151000,1617,2016,2017,inflow,Jackson County-Clarke County-GA-1617,"Clarke County, GA"
109282,Banks County,GA,Jackson County,GA,318,5290,5290000,1617,2016,2017,inflow,Jackson County-Banks County-GA-1617,"Banks County, GA"
109283,Madison County,GA,Jackson County,GA,253,4407,4407000,1617,2016,2017,inflow,Jackson County-Madison County-GA-1617,"Madison County, GA"
109284,Walton County,GA,Jackson County,GA,181,4033,4033000,1617,2016,2017,inflow,Jackson County-Walton County-GA-1617,"Walton County, GA"
109285,Franklin County,GA,Jackson County,GA,142,1992,1992000,1617,2016,2017,inflow,Jackson County-Franklin County-GA-1617,"Franklin County, GA"
109286,Fulton County,GA,Jackson County,GA,108,2761,2761000,1617,2016,2017,inflow,Jackson County-Fulton County-GA-1617,"Fulton County, GA"
109287,Oconee County,GA,Jackson County,GA,117,2921,2921000,1617,2016,2017,inflow,Jackson County-Oconee County-GA-1617,"Oconee County, GA"
109288,Forsyth County,GA,Jackson County,GA,89,2461,2461000,1617,2016,2017,inflow,Jackson County-Forsyth County-GA-1617,"Forsyth County, GA"
109289,Cobb County,GA,Jackson County,GA,83,2038,2038000,1617,2016,2017,inflow,Jackson County-Cobb County-GA-1617,"Cobb County, GA"
109290,DeKalb County,GA,Jackson County,GA,59,2136,2136000,1617,2016,2017,inflow,Jackson County-DeKalb County-GA-1617,"DeKalb County, GA"
109291,Habersham County,GA,Jackson County,GA,72,1387,1387000,1617,2016,2017,inflow,Jackson County-Habersham County-GA-1617,"Habersham County, GA"
109292,Newton County,GA,Jackson County,GA,57,1769,1769000,1617,2016,2017,inflow,Jackson County-Newton County-GA-1617,"Newton County, GA"
109293,Oglethorpe County,GA,Jackson County,GA,50,1218,1218000,1617,2016,2017,inflow,Jackson County-Oglethorpe County-GA-1617,"Oglethorpe County, GA"
109294,Cherokee County,GA,Jackson County,GA,44,1056,1056000,1617,2016,2017,inflow,Jackson County-Cherokee County-GA-1617,"Cherokee County, GA"
109295,Hart County,GA,Jackson County,GA,39,852,852000,1617,2016,2017,inflow,Jackson County-Hart County-GA-1617,"Hart County, GA"
109609,Lumpkin County Total Migration-US and Foreign,GA,Lumpkin County,GA,2911,79859,79859000,1617,2016,2017,inflow,Lumpkin County total migration-1617,"Lumpkin County Total Migration-US and Foreign, GA"
109615,Forsyth County,GA,Lumpkin County,GA,445,13174,13174000,1617,2016,2017,inflow,Lumpkin County-Forsyth County-GA-1617,"Forsyth County, GA"
109616,Hall County,GA,Lumpkin County,GA,347,6603,6603000,1617,2016,2017,inflow,Lumpkin County-Hall County-GA-1617,"Hall County, GA"
109617,Dawson County,GA,Lumpkin County,GA,340,7916,7916000,1617,2016,2017,inflow,Lumpkin County-Dawson County-GA-1617,"Dawson County, GA"
109618,Gwinnett County,GA,Lumpkin County,GA,161,5249,5249000,1617,2016,2017,inflow,Lumpkin County-Gwinnett County-GA-1617,"Gwinnett County, GA"
109619,Fulton County,GA,Lumpkin County,GA,107,4532,4532000,1617,2016,2017,inflow,Lumpkin County-Fulton County-GA-1617,"Fulton County, GA"
109620,White County,GA,Lumpkin County,GA,120,2016,2016000,1617,2016,2017,inflow,Lumpkin County-White County-GA-1617,"White County, GA"
109621,Cobb County,GA,Lumpkin County,GA,52,2146,2146000,1617,2016,2017,inflow,Lumpkin County-Cobb County-GA-1617,"Cobb County, GA"
109622,Cherokee County,GA,Lumpkin County,GA,34,677,677000,1617,2016,2017,inflow,Lumpkin County-Cherokee County-GA-1617,"Cherokee County, GA"
109623,DeKalb County,GA,Lumpkin County,GA,33,801,801000,1617,2016,2017,inflow,Lumpkin County-DeKalb County-GA-1617,"DeKalb County, GA"
110833,White County Total Migration-US and Foreign,GA,White County,GA,2445,62582,62582000,1617,2016,2017,inflow,White County total migration-1617,"White County Total Migration-US and Foreign, GA"
110838,Hall County,GA,White County,GA,483,9968,9968000,1617,2016,2017,inflow,White County-Hall County-GA-1617,"Hall County, GA"
110839,Habersham County,GA,White County,GA,243,3860,3860000,1617,2016,2017,inflow,White County-Habersham County-GA-1617,"Habersham County, GA"
110840,Lumpkin County,GA,White County,GA,183,3680,3680000,1617,2016,2017,inflow,White County-Lumpkin County-GA-1617,"Lumpkin County, GA"
110841,Gwinnett County,GA,White County,GA,154,5963,5963000,1617,2016,2017,inflow,White County-Gwinnett County-GA-1617,"Gwinnett County, GA"
110842,Forsyth County,GA,White County,GA,119,5287,5287000,1617,2016,2017,inflow,White County-Forsyth County-GA-1617,"Forsyth County, GA"
110843,Fulton County,GA,White County,GA,38,2594,2594000,1617,2016,2017,inflow,White County-Fulton County-GA-1617,"Fulton County, GA"
110844,Jackson County,GA,White County,GA,60,1107,1107000,1617,2016,2017,inflow,White County-Jackson County-GA-1617,"Jackson County, GA"
110845,Cobb County,GA,White County,GA,44,1261,1261000,1617,2016,2017,inflow,White County-Cobb County-GA-1617,"Cobb County, GA"
202518,Banks County Total Migration-US and Foreign,GA,Banks County,GA,1443,27427,27427000,1718,2017,2018,inflow,Banks County total migration-1718,"Banks County Total Migration-US and Foreign, GA"
202523,Jackson County,GA,Banks County,GA,417,6722,6722000,1718,2017,2018,inflow,Banks County-Jackson County-GA-1718,"Jackson County, GA"
