,y1_countyname,y1_state,y2_countyname,y2_state,n2_outflow,agi_perThou_outflow,agi_outflow,yr_range,year1,year2,mig_direction2,unique_tag,secondary_county
109813,White County,GA,Banks County,GA,41,606,606000,1617,2016,2017,outflow,White County-Banks County-GA-1617,"Banks County, GA"
109814,White County,GA,Forsyth County,GA,34,909,909000,1617,2016,2017,outflow,White County-Forsyth County-GA-1617,"Forsyth County, GA"
202143,Banks County,GA,Banks County Total Migration-US and Foreign,GA,1231,21995,21995000,1718,2017,2018,outflow,Banks County total migration-1718,"Banks County Total Migration-US and Foreign, GA"
202149,Banks County,GA,Jackson County,GA,306,5312,5312000,1718,2017,2018,outflow,Banks County-Jackson County-GA-1718,"Jackson County, GA"
202150,Banks County,GA,Habersham County,GA,260,3970,3970000,1718,2017,2018,outflow,Banks County-Habersham County-GA-1718,"Habersham County, GA"
202151,Banks County,GA,Hall County,GA,162,3595,3595000,1718,2017,2018,outflow,Banks County-Hall County-GA-1718,"Hall County, GA"
202152,Banks County,GA,Franklin County,GA,63,623,623000,1718,2017,2018,outflow,Banks County-Franklin County-GA-1718,"Franklin County, GA"
202153,Banks County,GA,Madison County,GA,51,626,626000,1718,2017,2018,outflow,Banks County-Madison County-GA-1718,"Madison County, GA"
203218,Dawson County,GA,Dawson County Total Migration-US and Foreign,GA,1699,44937,44937000,1718,2017,2018,outflow,Dawson County total migration-1718,"Dawson County Total Migration-US and Foreign, GA"
203224,Dawson County,GA,Forsyth County,GA,512,12518,12518000,1718,2017,2018,outflow,Dawson County-Forsyth County-GA-1718,"Forsyth County, GA"
203225,Dawson County,GA,Lumpkin County,GA,260,4210,4210000,1718,2017,2018,outflow,Dawson County-Lumpkin County-GA-1718,"Lumpkin County, GA"
203226,Dawson County,GA,Hall County,GA,171,4782,4782000,1718,2017,2018,outflow,Dawson County-Hall County-GA-1718,"Hall County, GA"
203227,Dawson County,GA,Cherokee County,GA,50,1411,1411000,1718,2017,2018,outflow,Dawson County-Cherokee County-GA-1718,"Cherokee County, GA"
203228,Dawson County,GA,Fulton County,GA,38,2503,2503000,1718,2017,2018,outflow,Dawson County-Fulton County-GA-1718,"Fulton County, GA"
203229,Dawson County,GA,Pickens County,GA,42,1394,1394000,1718,2017,2018,outflow,Dawson County-Pickens County-GA-1718,"Pickens County, GA"
204307,Habersham County,GA,Habersham County Total Migration-US and Foreign,GA,1916,45860,45860000,1718,2017,2018,outflow,Habersham County total migration-1718,"Habersham County Total Migration-US and Foreign, GA"
204312,Habersham County,GA,Hall County,GA,255,5129,5129000,1718,2017,2018,outflow,Habersham County-Hall County-GA-1718,"Hall County, GA"
204313,Habersham County,GA,White County,GA,245,5191,5191000,1718,2017,2018,outflow,Habersham County-White County-GA-1718,"White County, GA"
204314,Habersham County,GA,Stephens County,GA,210,7363,7363000,1718,2017,2018,outflow,Habersham County-Stephens County-GA-1718,"Stephens County, GA"
204315,Habersham County,GA,Banks County,GA,176,2960,2960000,1718,2017,2018,outflow,Habersham County-Banks County-GA-1718,"Banks County, GA"
204316,Habersham County,GA,Gwinnett County,GA,68,1841,1841000,1718,2017,2018,outflow,Habersham County-Gwinnett County-GA-1718,"Gwinnett County, GA"
204317,Habersham County,GA,Rabun County,GA,49,928,928000,1718,2017,2018,outflow,Habersham County-Rabun County-GA-1718,"Rabun County, GA"
204318,Habersham County,GA,Jackson County,GA,46,1303,1303000,1718,2017,2018,outflow,Habersham County-Jackson County-GA-1718,"Jackson County, GA"
204325,Hall County,GA,Hall County Total Migration-US and Foreign,GA,10009,276527,276527000,1718,2017,2018,outflow,Hall County total migration-1718,"Hall County Total Migration-US and Foreign, GA"
204331,Hall County,GA,Gwinnett County,GA,1781,50233,50233000,1718,2017,2018,outflow,Hall County-Gwinnett County-GA-1718,"Gwinnett County, GA"
204332,Hall County,GA,Jackson County,GA,1002,23090,23090000,1718,2017,2018,outflow,Hall County-Jackson County-GA-1718,"Jackson County, GA"
204333,Hall County,GA,Forsyth County,GA,620,16504,16504000,1718,2017,2018,outflow,Hall County-Forsyth County-GA-1718,"Forsyth County, GA"
204334,Hall County,GA,Barrow County,GA,441,9241,9241000,1718,2017,2018,outflow,Hall County-Barrow County-GA-1718,"Barrow County, GA"
204335,Hall County,GA,Fulton County,GA,300,12085,12085000,1718,2017,2018,outflow,Hall County-Fulton County-GA-1718,"Fulton County, GA"
204336,Hall County,GA,White County,GA,384,8694,8694000,1718,2017,2018,outflow,Hall County-White County-GA-1718,"White County, GA"
204337,Hall County,GA,Lumpkin County,GA,285,7417,7417000,1718,2017,2018,outflow,Hall County-Lumpkin County-GA-1718,"Lumpkin County, GA"
204338,Hall County,GA,Habersham County,GA,300,6276,6276000,1718,2017,2018,outflow,Hall County-Habersham County-GA-1718,"Habersham County, GA"
204339,Hall County,GA,DeKalb County,GA,234,6462,6462000,1718,2017,2018,outflow,Hall County-DeKalb County-GA-1718,"DeKalb County, GA"
204340,Hall County,GA,Banks County,GA,296,5584,5584000,1718,2017,2018,outflow,Hall County-Banks County-GA-1718,"Banks County, GA"
