,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,unique_tag2,prim_county,sec_county,sec_county_state,yr_range2,sec_unique
115,Jackson County-Clarke County-GA-1617,"Clarke County, GA",1617,2016,2017,538,11151000,452,9332000,86,1819000,Jackson County,Jackson County-Clarke County-GA,Jackson County,Clarke County,GA,1617,"Clarke County, GA"
117,Jackson County-Madison County-GA-1617,"Madison County, GA",1617,2016,2017,253,4407000,300,5237000,-47,-830000,Jackson County,Jackson County-Madison County-GA,Jackson County,Madison County,GA,1617,"Madison County, GA"
118,Jackson County-Walton County-GA-1617,"Walton County, GA",1617,2016,2017,181,4033000,73,1616000,108,2417000,Jackson County,Jackson County-Walton County-GA,Jackson County,Walton County,GA,1617,"Walton County, GA"
119,Jackson County-Franklin County-GA-1617,"Franklin County, GA",1617,2016,2017,142,1992000,162,2971000,-20,-979000,Jackson County,Jackson County-Franklin County-GA,Jackson County,Franklin County,GA,1617,"Franklin County, GA"
120,Jackson County-Fulton County-GA-1617,"Fulton County, GA",1617,2016,2017,108,2761000,74,2261000,34,500000,Jackson County,Jackson County-Fulton County-GA,Jackson County,Fulton County,GA,1617,"Fulton County, GA"
121,Jackson County-Oconee County-GA-1617,"Oconee County, GA",1617,2016,2017,117,2921000,137,3700000,-20,-779000,Jackson County,Jackson County-Oconee County-GA,Jackson County,Oconee County,GA,1617,"Oconee County, GA"
122,Jackson County-Forsyth County-GA-1617,"Forsyth County, GA",1617,2016,2017,89,2461000,57,1767000,32,694000,Jackson County,Jackson County-Forsyth County-GA,Jackson County,Forsyth County,GA,1617,"Forsyth County, GA"
123,Jackson County-DeKalb County-GA-1617,"DeKalb County, GA",1617,2016,2017,59,2136000,50,1802000,9,334000,Jackson County,Jackson County-DeKalb County-GA,Jackson County,DeKalb County,GA,1617,"DeKalb County, GA"
125,Jackson County-Oglethorpe County-GA-1617,"Oglethorpe County, GA",1617,2016,2017,50,1218000,44,645000,6,573000,Jackson County,Jackson County-Oglethorpe County-GA,Jackson County,Oglethorpe County,GA,1617,"Oglethorpe County, GA"
126,Jackson County-Hart County-GA-1617,"Hart County, GA",1617,2016,2017,39,852000,61,2494000,-22,-1642000,Jackson County,Jackson County-Hart County-GA,Jackson County,Hart County,GA,1617,"Hart County, GA"
128,Lumpkin County-Forsyth County-GA-1617,"Forsyth County, GA",1617,2016,2017,445,13174000,229,5980000,216,7194000,Lumpkin County,Lumpkin County-Forsyth County-GA,Lumpkin County,Forsyth County,GA,1617,"Forsyth County, GA"
131,Lumpkin County-Gwinnett County-GA-1617,"Gwinnett County, GA",1617,2016,2017,161,5249000,41,1089000,120,4160000,Lumpkin County,Lumpkin County-Gwinnett County-GA,Lumpkin County,Gwinnett County,GA,1617,"Gwinnett County, GA"
132,Lumpkin County-Fulton County-GA-1617,"Fulton County, GA",1617,2016,2017,107,4532000,55,1501000,52,3031000,Lumpkin County,Lumpkin County-Fulton County-GA,Lumpkin County,Fulton County,GA,1617,"Fulton County, GA"
138,White County-Gwinnett County-GA-1617,"Gwinnett County, GA",1617,2016,2017,154,5963000,47,1413000,107,4550000,White County,White County-Gwinnett County-GA,White County,Gwinnett County,GA,1617,"Gwinnett County, GA"
139,White County-Forsyth County-GA-1617,"Forsyth County, GA",1617,2016,2017,119,5287000,34,909000,85,4378000,White County,White County-Forsyth County-GA,White County,Forsyth County,GA,1617,"Forsyth County, GA"
144,Banks County-Madison County-GA-1718,"Madison County, GA",1718,2017,2018,52,705000,51,626000,1,79000,Banks County,Banks County-Madison County-GA,Banks County,Madison County,GA,1718,"Madison County, GA"
